T,D,L,Ly,G,Gy,Gz,A,Ay,Az,M,My,Mz,P,R,H,
86630,793,GPGGA,190702.1,-1.17,0.55,0.22,-0.09,0.07,0.96,0.19,0.04,-0.61,4.28,5.21,-320.48,*7A
86688,793,,,-1.04,0.49,0.23,-0.09,0.08,0.96,0.19,0.04,-0.61,4.61,5.43,-320.32,*7A
86745,793,,,-1.28,0.47,0.43,-0.09,0.07,0.96,0.19,0.03,-0.61,3.96,5.56,-322.79,*7A
86802,793,,,-1.03,0.18,0.2,-0.09,0.06,0.96,0.19,0.04,-0.61,3.73,5.32,-321.92,*7A
86859,793,,,-0.96,0.6,0.19,-0.09,0.07,0.96,0.19,0.03,-0.61,4.42,5.39,-322.51,*7A
86916,793,,,-1.24,0.45,0.25,-0.09,0.07,0.96,0.19,0.03,-0.62,4.15,5.41,-323.07,*7A
86973,793,,,-1.25,0.39,0.26,-0.09,0.07,0.96,0.19,0.04,-0.61,4.01,5.33,-320.81,*7A
87029,793,,,-1.25,0.39,0.26,-0.1,0.07,0.94,0.19,0.04,-0.61,4.43,5.9,-321.66,*7A
87087,793,,,-1.18,0.74,0.18,-0.11,0.07,0.98,0.19,0.04,-0.61,4.1,6.37,-320.27,*7A
87143,793,,,-0.7,-3.51,0.57,-0.08,0.08,1.04,0.19,0.04,-0.61,4.15,4.15,-319.74,*7A
87200,793,,,-1.14,-0.49,0.37,-0.08,0.07,0.97,0.19,0.03,-0.6,3.94,4.94,-324.35,*7A
87258,793,,,-1.14,-0.49,0.37,-0.12,0.06,0.96,0.19,0.04,-0.61,3.7,7.29,-321,*7A
87258,793,,,-0.74,1.24,0.12,-0.1,0.07,0.95,0.19,0.03,-0.6,4.14,5.77,-322.63,*7A
87371,793,,,0,1.24,0.12,-0.09,0.07,0.96,0.19,0.03,-0.61,4.41,5.54,-323.31,*7A
87429,793,,,-2.14,4.86,-0.71,-0.05,0.08,0.98,0,0.03,-0.61,4.52,3.16,-323.17,*7A
87560,793,GPGGA,190703.M,-11.7,81.47,22.56,0.07,0.07,0.72,0.22,0.03,-0.61,5.92,-5.14,-325.47,*7A
87656,793,,,-3.27,58.9,23.98,0.02,0.15,0.9,0.26,0.04,-0.61,9.47,-1.5,-326.89,*7A
87713,793,,,-,58.9,23.98,0.09,0.1,0.88,0.28,0.03,-0.61,6.36,-5.87,-330.03,*7A
87771,793,,,-10.96,-2.21,2.05,0.04,0.02,0.9,0.3,0.02,-0.62,1.13,-2.58,-333.95,*7A
87827,793,,,16.85,15.25,-3.99,0.02,0.26,0.76,0.3,0.02,-0.61,19,-1.38,-335.08,*7A
87884,793,,,25.02,-12.69,-4.7,0.1,0.08,0.96,0.31,0.02,-0.61,4.65,-6.07,-334.66,*7A
87942,793,,,2.48,-13.3,7.58,0.16,0.09,1.07,0.3,0.02,-0.6,5.02,-8.31,-335.01,*7A
87998,793,,,1.1,-9.02,10.57,0.11,0.04,0.94,0.3,0.02,-0.6,2.43,-6.86,-335.53,*7A
88055,793,,,-3.14,-2.67,5,0.19,0.08,1.04,0.3,0.02,-0.59,4.57,-10.45,-335.02,*7A
88113,793,,,-4.95,-0.74,-0.64,0.06,0,0.89,0.29,0.02,-0.6,-0.07,-3.92,-335.87,*7A
88169,793,,,-1.13,3.4,-1.72,0.18,0.13,1.03,0.29,0.01,-0.59,6.99,-9.71,-337.25,*7A
88226,793,,,-2.01,-17.04,0.63,0.19,0.06,0.91,0.29,0.02,-0.59,3.68,-11.52,-336.21,*7A
